"fever2wk","male","urban","pinf.rdt0","pinf.rdt1","pinf","reg","age"
0,0,0,0.170523595,0.73825088,0.645640879,"Nord",1
0,0,0,0.206299569,0.764024304,0.698595352,"Nord",2
0,0,0,0.183538147,0.819742342,0.743097203,"Nord",3
0,0,0,0.300609026,0.812409339,0.749288497,"Nord",4
1,0,0,0.044276771,0.668731746,0.562202918,"Nord",0
1,0,0,0.059416105,0.666062829,0.579270176,"Nord",1
1,0,0,0.073067543,0.697510157,0.635462252,"Nord",2
1,0,0,0.059460136,0.759835858,0.684999324,"Nord",3
1,0,0,0.121378315,0.755197512,0.691914104,"Nord",4
0,1,0,0.136943119,0.717698198,0.599734654,"Nord",0
0,1,0,0.174242534,0.71188577,0.617201503,"Nord",1
0,1,0,0.209973126,0.740009547,0.672312037,"Nord",2
0,1,0,0.187728588,0.799247726,0.718737896,"Nord",3
0,1,0,0.304740482,0.790284868,0.724890836,"Nord",4
1,1,0,0.046492692,0.640566016,0.533279778,"Nord",0
1,1,0,0.062596964,0.637253672,0.550210265,"Nord",1
1,1,0,0.075774406,0.670440412,0.607246563,"Nord",2
1,1,0,0.063159237,0.736337931,0.658246921,"Nord",3
1,1,0,0.124667215,0.730867785,0.66520045,"Nord",4
0,0,1,0.039100732,0.573535567,0.34194839,"Nord",0
0,0,1,0.049530523,0.555893368,0.357581394,"Nord",1
0,0,1,0.058587989,0.574139075,0.414133654,"Nord",2
0,0,1,0.054279303,0.665752578,0.46710885,"Nord",3
0,0,1,0.093936576,0.64747977,0.474540564,"Nord",4
1,0,1,0.011544099,0.470609005,0.280066854,"Nord",0
1,0,1,0.015115036,0.458307203,0.295241174,"Nord",1
1,0,1,0.01753052,0.480753222,0.346990927,"Nord",2
1,0,1,0.015453633,0.572637381,0.397925758,"Nord",3
1,0,1,0.030967971,0.558221401,0.405568945,"Nord",4
0,1,1,0.040204233,0.541897941,0.314551202,"Nord",0
0,1,1,0.049844702,0.523415767,0.330426367,"Nord",1
0,1,1,0.059546663,0.543782094,0.385461404,"Nord",2
0,1,1,0.055543151,0.637124694,0.43832915,"Nord",3
0,1,1,0.095514047,0.617865808,0.445200993,"Nord",4
1,1,1,0.011965923,0.438025735,0.255907668,"Nord",0
1,1,1,0.015708266,0.425887189,0.270506279,"Nord",1
1,1,1,0.018258297,0.449853714,0.319598182,"Nord",2
1,1,1,0.016260258,0.541246264,0.371513632,"Nord",3
1,1,1,0.031975122,0.526696251,0.377594255,"Nord",4
0,0,0,0.271025166,0.81073725,0.746453859,"Boucle de Mouhoun",0
0,0,0,0.338924917,0.827961399,0.780614582,"Boucle de Mouhoun",1
0,0,0,0.338872143,0.834095402,0.796310872,"Boucle de Mouhoun",2
0,0,0,0.493964383,0.894623806,0.869438563,"Boucle de Mouhoun",3
0,0,0,0.525798267,0.868390962,0.837744539,"Boucle de Mouhoun",4
1,0,0,0.363479438,0.778768979,0.731690853,"Boucle de Mouhoun",0
1,0,0,0.446364073,0.800151562,0.767328523,"Boucle de Mouhoun",1
1,0,0,0.452908525,0.808667342,0.78246885,"Boucle de Mouhoun",2
1,0,0,0.610086166,0.877117354,0.860096025,"Boucle de Mouhoun",3
1,0,0,0.633672202,0.845680645,0.826018902,"Boucle de Mouhoun",4
0,1,0,0.267584616,0.773223184,0.702741802,"Boucle de Mouhoun",0
0,1,0,0.330904262,0.791700378,0.739526936,"Boucle de Mouhoun",1
0,1,0,0.334571398,0.798947624,0.756864514,"Boucle de Mouhoun",2
0,1,0,0.485224801,0.868440953,0.839663489,"Boucle de Mouhoun",3
0,1,0,0.512615259,0.837148321,0.803208646,"Boucle de Mouhoun",4
1,1,0,0.355826587,0.735625045,0.686206801,"Boucle de Mouhoun",0
1,1,0,0.436997221,0.758778321,0.724425982,"Boucle de Mouhoun",1
1,1,0,0.446326464,0.768751523,0.74141307,"Boucle de Mouhoun",2
1,1,0,0.598654299,0.847407101,0.828318069,"Boucle de Mouhoun",3
1,1,0,0.620635418,0.810895718,0.790209484,"Boucle de Mouhoun",4
0,0,1,0.088085272,0.569458647,0.390664623,"Boucle de Mouhoun",0
